                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84947,                  4.053,                 0.9523,                0.00068,                0.08529,                0.00096,                0.00051,                0.72752,                 3.8321,                0.84253,             0.00012861,             0.00012861,             0.00012861
                      2,                 0.8105,                 3.2706,                0.86326,                0.02315,                0.42212,                0.10271,                0.06479,                0.82411,                 3.7282,                 0.8184,             0.00026882,             0.00026882,             0.00026882
                      3,                 0.8439,                 2.1508,                0.87132,                0.02129,                0.49126,                0.15209,                0.08475,                0.87295,                 3.7275,                0.82957,              0.0004062,              0.0004062,              0.0004062
                      4,                0.81032,                 1.6651,                0.88519,                0.00837,                0.41772,                0.12628,                0.07211,                0.90913,                 3.7074,                 0.8376,             0.00054076,             0.00054076,             0.00054076
                      5,                0.75752,                 1.6574,                 0.8815,                0.00509,                0.44045,                0.02222,                0.00927,                0.80701,                 3.7273,                0.82861,             0.00067248,             0.00067248,             0.00067248
                      6,                0.75325,                 1.2005,                0.88247,                0.00272,                0.23236,                0.00194,                0.00113,                0.85795,                 3.9435,                0.89206,             0.00080138,             0.00080138,             0.00080138
                      7,                0.73569,                 1.0287,                0.86931,                0.00065,                0.06165,                 0.0009,                0.00068,                0.87846,                 3.7895,                 0.8688,             0.00092744,             0.00092744,             0.00092744
                      8,                0.77456,                 1.1246,                0.88751,                0.00198,                0.19054,                 0.0548,                0.04686,                0.82581,                 3.5511,                0.85213,              0.0010507,              0.0010507,              0.0010507
                      9,                0.74175,                 1.0382,                0.88107,                0.00478,                 0.4033,                0.02585,                0.01991,                0.85391,                 3.3948,                0.85576,              0.0011711,              0.0011711,              0.0011711
                     10,                0.77703,                 1.0232,                 0.8996,                0.00904,                0.76514,                0.30688,                0.23699,                0.85337,                 3.0386,                0.86765,              0.0012887,              0.0012887,              0.0012887
                     11,                0.72899,                0.90412,                0.87984,                0.63522,                 0.0789,                0.48193,                0.39299,                  0.839,                 2.8349,                0.85854,              0.0012875,              0.0012875,              0.0012875
                     12,                0.74801,                0.92182,                0.88813,                0.98119,                0.22093,                0.82692,                 0.6387,                0.85212,                 2.5632,                0.89124,              0.0012734,              0.0012734,              0.0012734
